"AD","AD:安道尔"
"SJ","SJ:斯瓦尔巴岛和扬马延岛"
"SK","SK:斯洛伐克"
"SL","SL:塞拉利昂"
"SM","SM:圣马力诺"
"SN","SN:塞内加尔"
"SO","SO:索马里"
"SR","SR:苏里南"
"ST","ST:圣多美和普林西比"
"SV","SV:萨尔瓦多"
"SY","SY:叙利亚"
"SZ","SZ:斯威士兰"
"TC","TC:特克斯和凯科斯群岛"
"TD","TD:乍得"
"TF","TF:法属南部领土"
"TG","TG:多哥"
"TH","TH:泰国"
"TJ","TJ:塔吉克斯坦"
"TK","TK:托克劳"
"TM","TM:土库曼斯坦"
"TN","TN:突尼斯"
"TO","TO:汤加"
"TP","TP:东帝汶"
"TR","TR:土耳其"
"TT","TT:特立尼达和多巴哥"
"TV","TV:图瓦卢"
"TW","TW:台湾"
"TZ","TZ:坦桑尼亚"
"UA","UA:乌克兰"
"UG","UG:乌干达"
"UM","UM:美国本土外小岛屿"
"US","US:美国"
"UY","UY:乌拉圭"
"UZ","UZ:乌兹别克斯坦"
"VA","VA:梵蒂冈"
"VC","VC:圣文森特和格林纳丁斯"
"VE","VE:委内瑞拉"
"VG","VG:英属维尔京群岛"
"VI","VI:美属维尔京群岛"
"VN","VN:越南"
"VU","VU:瓦努阿图"
"WF","WF:瓦利斯和富图纳"
"WS","WS:萨摩亚"
"YE","YE:也门"
"YT","YT:马约特"
"YU","YU:南斯拉夫"
"ZA","ZA:南非"
"ZM","ZM:赞比亚"
"ZW","ZW:津巴布韦"
"ZZ","ZZ:其它"
